epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1679.9,1.13558,1.13423,1.2205,0.69286,0.47589,0.55326,0.38653,1.29671,1.72278,1.26872,8.43851e-06,8.43851e-06,8.43851e-06
54,1711.1,1.12602,1.12051,1.21667,0.60061,0.53963,0.5593,0.39229,1.3415,1.7352,1.31648,8.38141e-06,8.38141e-06,8.38141e-06
55,1742.25,1.1141,1.11094,1.21599,0.6752,0.51091,0.55947,0.38284,1.36294,1.69127,1.29961,8.32349e-06,8.32349e-06,8.32349e-06
56,1773.75,1.10537,1.09485,1.21973,0.65769,0.50944,0.56232,0.38997,1.34261,1.68509,1.32051,8.26477e-06,8.26477e-06,8.26477e-06
57,1805.49,1.12308,1.14108,1.22821,0.7532,0.45998,0.55678,0.38336,1.33053,1.69591,1.33264,8.20525e-06,8.20525e-06,8.20525e-06
58,1836.55,1.0928,1.03819,1.18618,0.56794,0.54664,0.55302,0.39195,1.27627,1.77221,1.29399,8.14495e-06,8.14495e-06,8.14495e-06
59,1867.79,1.07484,1.08099,1.2174,0.58836,0.54387,0.56536,0.39829,1.26919,1.74931,1.29501,8.08389e-06,8.08389e-06,8.08389e-06
60,1898.89,1.07793,1.04349,1.1973,0.65821,0.49696,0.56584,0.39487,1.33653,1.64914,1.30987,8.02208e-06,8.02208e-06,8.02208e-06
61,1929.87,1.09652,1.08246,1.20945,0.62933,0.54368,0.55747,0.38957,1.35126,1.76297,1.31147,7.95954e-06,7.95954e-06,7.95954e-06
62,1961.25,1.0607,1.03824,1.18005,0.6148,0.51548,0.55593,0.39088,1.32879,1.7263,1.32236,7.89628e-06,7.89628e-06,7.89628e-06
63,1992.44,1.10828,1.10268,1.2092,0.62179,0.5072,0.55317,0.38606,1.33519,1.7326,1.35513,7.83231e-06,7.83231e-06,7.83231e-06
64,2023.94,1.04522,1.05339,1.18724,0.58487,0.53103,0.55015,0.38831,1.3185,1.76235,1.34292,7.76766e-06,7.76766e-06,7.76766e-06
65,2055.06,1.06627,1.02266,1.17112,0.63401,0.51069,0.56182,0.39255,1.33404,1.77559,1.33391,7.70234e-06,7.70234e-06,7.70234e-06
66,2086.59,1.05398,1.04066,1.1846,0.65253,0.50806,0.56828,0.39863,1.32413,1.74281,1.35017,7.63637e-06,7.63637e-06,7.63637e-06
67,2118.16,1.03998,1.01458,1.17233,0.6223,0.51866,0.56235,0.39017,1.34178,1.73836,1.33957,7.56976e-06,7.56976e-06,7.56976e-06
68,2149.72,1.04588,1.01549,1.15696,0.5755,0.53635,0.55481,0.3947,1.29749,1.72511,1.3162,7.50252e-06,7.50252e-06,7.50252e-06
69,2180.88,1.03976,1.00013,1.17763,0.59476,0.54883,0.55301,0.38148,1.33918,1.75732,1.33975,7.43468e-06,7.43468e-06,7.43468e-06
70,2212.23,1.04373,1.04832,1.17512,0.61569,0.53026,0.56132,0.38789,1.33918,1.78714,1.35577,7.36625e-06,7.36625e-06,7.36625e-06
71,2243.62,1.03352,0.98433,1.16215,0.69654,0.49199,0.55888,0.38558,1.33228,1.79747,1.35171,7.29725e-06,7.29725e-06,7.29725e-06
72,2274.89,1.06412,1.00702,1.16592,0.65764,0.49676,0.56673,0.39035,1.32159,1.78863,1.34549,7.2277e-06,7.2277e-06,7.2277e-06
73,2306.18,1.03906,1.00278,1.18519,0.62999,0.51682,0.57269,0.40088,1.2933,1.7684,1.33181,7.15761e-06,7.15761e-06,7.15761e-06
74,2337.67,1.02121,0.99835,1.17814,0.54249,0.57247,0.56805,0.39527,1.28476,1.70513,1.3291,7.087e-06,7.087e-06,7.087e-06
75,2368.88,1.02856,1.01505,1.16803,0.62809,0.52726,0.56378,0.38773,1.31648,1.78535,1.32382,7.01588e-06,7.01588e-06,7.01588e-06
76,2401.76,1.0388,1.02661,1.17075,0.58654,0.58664,0.57836,0.40611,1.28712,1.72058,1.32105,6.94428e-06,6.94428e-06,6.94428e-06
77,2433.14,1.02459,0.95429,1.14623,0.5953,0.54591,0.56817,0.40262,1.28881,1.74877,1.32007,6.87222e-06,6.87222e-06,6.87222e-06
78,2464.7,1.02138,0.96693,1.1612,0.56569,0.57117,0.57198,0.40676,1.26423,1.77465,1.32211,6.7997e-06,6.7997e-06,6.7997e-06
79,2496.21,1.01763,0.93897,1.14335,0.56146,0.57436,0.57614,0.41729,1.24775,1.73704,1.3131,6.72675e-06,6.72675e-06,6.72675e-06
80,2527.74,1.01493,0.96411,1.14951,0.56903,0.57037,0.57209,0.41483,1.27058,1.74286,1.33261,6.65339e-06,6.65339e-06,6.65339e-06
81,2559.09,1.01281,0.97643,1.16046,0.59789,0.56257,0.57918,0.4197,1.22998,1.75827,1.30291,6.57963e-06,6.57963e-06,6.57963e-06
82,2590.86,1.02429,0.97722,1.16034,0.5352,0.61821,0.57777,0.41998,1.23718,1.79278,1.29161,6.5055e-06,6.5055e-06,6.5055e-06
83,2622.46,1.02406,0.96759,1.14822,0.54092,0.59776,0.5767,0.4102,1.27402,1.76359,1.30387,6.43101e-06,6.43101e-06,6.43101e-06
84,2653.78,0.98024,0.92879,1.13965,0.59309,0.57796,0.57243,0.41079,1.25031,1.70925,1.30923,6.35617e-06,6.35617e-06,6.35617e-06
85,2685.14,1.01278,0.99746,1.16315,0.57957,0.56288,0.57065,0.412,1.26098,1.70336,1.32271,6.28101e-06,6.28101e-06,6.28101e-06
86,2716.85,1.02094,0.98705,1.16469,0.60298,0.53897,0.57728,0.41481,1.27693,1.73325,1.32349,6.20555e-06,6.20555e-06,6.20555e-06
87,2747.89,0.99056,0.97483,1.13694,0.53386,0.57838,0.57234,0.41561,1.23551,1.74261,1.29968,6.12981e-06,6.12981e-06,6.12981e-06
88,2779.17,0.99598,0.97238,1.14738,0.666,0.48688,0.57098,0.40913,1.27349,1.78747,1.30274,6.0538e-06,6.0538e-06,6.0538e-06
89,2810.44,0.973,0.90553,1.13191,0.64241,0.51156,0.57366,0.41391,1.25824,1.78592,1.31317,5.97754e-06,5.97754e-06,5.97754e-06
90,2841.72,0.98401,0.92293,1.1311,0.64031,0.51845,0.57395,0.41513,1.25928,1.7591,1.30977,5.90105e-06,5.90105e-06,5.90105e-06
91,2872.8,1.00296,0.95771,1.15121,0.67377,0.4968,0.57423,0.4165,1.275,1.77372,1.32433,5.82435e-06,5.82435e-06,5.82435e-06
92,2904.04,0.99176,0.94108,1.13563,0.62912,0.51557,0.57465,0.41873,1.26427,1.73458,1.30535,5.74746e-06,5.74746e-06,5.74746e-06
93,2935.21,1.00228,0.95354,1.13264,0.62607,0.50112,0.57053,0.41341,1.29093,1.76275,1.33676,5.6704e-06,5.6704e-06,5.6704e-06
94,2966.61,0.98342,0.93127,1.13011,0.65943,0.49123,0.567,0.40424,1.30169,1.75259,1.32947,5.59318e-06,5.59318e-06,5.59318e-06
95,2997.66,1.02938,1.01154,1.15803,0.60008,0.52661,0.56807,0.41477,1.2435,1.74505,1.31342,5.51584e-06,5.51584e-06,5.51584e-06
96,3029.13,0.97514,0.90134,1.13046,0.58953,0.55795,0.575,0.42122,1.22972,1.76875,1.30854,5.43837e-06,5.43837e-06,5.43837e-06
97,3060.81,0.98237,0.93623,1.14521,0.5838,0.54673,0.58551,0.42588,1.25418,1.6908,1.31251,5.36081e-06,5.36081e-06,5.36081e-06
98,3091.96,0.98873,0.97174,1.12115,0.62846,0.52007,0.571,0.41812,1.21585,1.71023,1.28988,5.28318e-06,5.28318e-06,5.28318e-06
